OG_ID	Dm-L1	Dm-L2	Dm-L3	Dm-WL	Dm-PP1	Dm-PP2	Dm-PP3	Dm-P1	Dm-P2	Dm-P3	Ha-L1	Ha-L2	Ha-L3	Ha-L4	Ha-PP1	Ha-PP2	Ha-PP3	Ha-PP4	Ha-PP5	Ha-P1	Ha-P2	Ha-P3	Ha-P4	Px-L1	Px-L2	Px-L3	Px-L4	Px-PP1	Px-PP2	Px-PP3	Px-PP4	Px-P1	Px-P2	Px-P3	Lm-N1	Lm-N2	Lm-N3	Lm-N4	Lm-N5d1	Lm-N5d3	Lm-N5d5
OG0003625	10.10090267	10.29419056	10.54998249	10.37804444	10.38262799	10.63054312	10.67819073	10.20955583	11.04020917	10.9674706	12.07588225	11.66253537	11.88969843	12.06325776	12.7678815	12.84574102	12.6801256	12.53656357	12.44871406	12.27525184	13.03595124	13.05411607	12.38917242	7.75761441	6.861494002	7.065475322	8.802914768	8.828600211	8.698235103	8.773899576	8.712885292	9.135673004	8.613996207	8.047952642	11.70008753	11.67182114	11.55584714	11.89964167	11.69021239	11.83386331	11.68530689
OG0003626	9.226963984	9.139418673	9.858320679	8.694938358	8.451265424	8.136743298	7.995271433	8.686785971	8.02114923	7.550590683	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	3.819630778	8.838263187	9.332846548	9.071537567	11.41477066	8.830934761	9.015723006	9.317020048	9.502749912	8.208630316	8.239920644	8.398569818	8.518924327	8.85096121	8.506488277	9.339692944	8.199054173	8.419040872	8.846068134
OG0003627	8.844456072	9.276575316	9.204383857	8.537262048	8.772772735	8.65913758	8.399671478	8.720942176	9.017502879	8.996113966	9.450914554	9.632744405	9.949692616	9.678736211	9.790442191	9.510673814	9.29851574	9.259257677	9.129688375	9.207898047	9.264607627	9.039903237	9.21586059	7.706479375	7.308410588	7.203682093	7.920963526	7.764689801	7.933095017	7.655334071	7.725773726	7.714668656	7.557695217	7.438751079	9.93457326	10.24616373	9.78791851	10.18184359	10.03000277	10.19860997	10.19742473
OG0003628	8.643665556	8.763514535	8.632581249	8.203223277	8.24252531	8.495223194	9.007526572	9.039882001	8.205988797	8.119735079	8.783332192	9.131599072	9.475384203	8.710123387	8.337803672	8.499972377	7.770267313	8.398792521	7.335324507	8.089274923	8.52900606	8.260655259	8.292012144	7.609764875	8.548055211	8.718095863	8.066479435	6.441630916	6.507956735	6.778390208	6.839425807	6.79538658	7.21452264	7.187497464	9.812967858	9.726353663	9.667447161	10.0880992	9.948511145	10.05618041	10.27285015
OG0003629	8.65992094	8.572013022	8.54737858	8.537080206	8.656147434	8.430669252	8.30576999	8.387129847	8.411486956	8.57808923	9.570803952	10.14743665	10.15702416	10.05573075	9.414086845	9.20705476	9.741692292	9.788986917	10.05151848	10.01966481	9.498773307	9.667021186	9.647520851	6.988204352	6.521173357	6.590586118	6.75902531	6.655440615	6.904717508	6.86204463	6.678752272	7.084403886	6.66811727	6.713875492	8.604435069	8.392246693	8.3102631	8.430577965	8.972130648	8.860175034	8.809906826
OG0003630	14.0315892	14.02035112	13.94195904	12.7929252	12.80462824	12.62011955	12.76881482	13.04524524	13.23168659	12.91136739	13.69189265	13.90909792	13.86755896	13.39102904	13.28395453	13.02638635	13.57951357	12.70394267	12.56558752	11.63245124	12.65715524	11.9216823	12.11421693	14.66293981	15.60629346	15.5010321	15.40841735	14.35214514	14.27533951	14.27426731	14.36985878	13.51895538	13.32469996	13.33630635	13.33045775	13.5968954	13.16074196	13.23689777	13.58914896	13.83409162	13.7567941
OG0003631	8.523071762	8.611775443	8.426130268	8.754157695	8.677189168	8.632697488	8.37462724	8.320460356	8.737158725	8.680272719	7.982588159	8.061132267	8.429884465	8.050378649	8.313052743	8.118299044	7.281276245	7.772620981	7.111913067	8.032745714	8.176689366	7.8642668	7.375132045	8.465803596	8.585944914	8.521126609	8.837231072	8.524959311	8.2942986	8.288942911	8.465047762	8.64463296	8.80005443	7.718831758	8.547684712	8.536700118	8.351386621	8.706241561	8.734857445	8.741127255	8.89803473
OG0003633	8.576170362	10.24499474	8.804181587	9.119862809	9.708324001	10.48427872	8.689046424	8.314955235	9.055995055	9.481937199	11.3091454	11.5179512	11.68490535	11.51197572	12.00019287	11.51812478	11.25993742	11.29915899	10.92724881	11.4802918	12.28087151	11.94403901	10.95605967	7.531311289	6.326383191	5.878594693	6.307059364	8.490451787	8.595498802	7.521561528	6.918318335	8.970401545	7.667494521	7.154911947	8.926847943	8.858754988	8.165963552	8.569829149	8.328103271	8.372525357	8.323857952
OG0003634	9.916125326	9.572653193	9.979325203	9.215384432	9.437870681	9.189186707	9.482478997	9.547369904	9.703018489	9.143357674	9.67520749	9.428783045	9.444766436	9.681125016	10.33336083	10.19172129	10.32227392	9.88631942	10.62776889	10.32519623	10.1098421	10.51466033	10.38709741	8.472475697	8.69951989	8.385783634	8.660312641	9.074219776	7.811255372	8.145627454	8.386131695	8.45207614	7.729905424	8.046743864	10.36567803	10.34461644	10.47605189	10.22565036	10.83196766	10.78882414	10.82683969
OG0003635	9.500115382	9.123232007	8.995037556	9.363893113	9.671061384	9.507962883	9.548392852	9.209669055	9.359517736	9.292983617	9.661553777	9.670812434	9.558027777	9.564522849	9.564393642	9.199947726	9.223208909	10.64410497	9.47563239	9.779531789	9.632650867	9.693192036	9.606231456	7.790653283	7.431140847	7.667660556	7.750703307	8.47546168	8.453356312	7.85255839	7.701201076	8.271394887	7.860601079	7.683755406	10.4138316	10.38587083	10.41972409	10.42603946	10.64628058	10.4807759	10.8055312
OG0003637	11.31231856	12.43676263	12.68185884	9.752584135	10.1957245	10.66385203	10.05345615	9.893133588	11.18838914	11.04915401	14.12796454	14.0364134	14.19345621	14.56889683	14.43676553	14.76229458	14.5910979	13.76367786	13.33960745	12.678757	13.50679924	13.4615763	12.73035784	13.53786514	12.79821062	12.69256393	14.52570713	13.85876355	14.0481045	14.03503162	13.55917425	12.92532774	12.0990814	12.05951716	13.34472736	13.67614699	13.57785787	13.17915822	13.04197763	13.22170264	13.36806057
OG0003638	9.525080032	9.090225395	8.859850512	8.60329568	8.397847664	8.331873879	8.310806334	8.694234398	8.637824936	8.413187528	8.469059191	8.804530898	8.786455636	8.507071517	8.771722781	8.587767694	8.72963644	8.476802153	8.67011805	8.231251152	8.390810057	8.259251995	8.280105997	8.559830549	9.017536014	9.157681246	8.657756449	7.78516504	7.937929864	7.775100754	7.872845153	7.719310555	7.850773993	7.789453304	10.17067177	10.30056123	9.886709227	10.14006588	10.62628325	10.51839629	10.73333257
OG0003639	8.611325668	8.054768905	7.843912678	8.106364386	8.205127199	8.397830475	8.4913195	8.701928824	7.901776464	8.017223903	9.776079285	9.827030796	9.932813632	9.695375325	9.699230059	10.13232197	9.315535255	10.0919046	9.211075499	9.684810025	9.765216657	9.617899411	9.343247969	7.274939484	7.591453342	7.460123064	7.163569085	7.363485963	7.38611412	7.466740306	7.369396051	7.305073619	7.735671994	7.612101582	8.425171423	8.255435043	8.302836329	8.311345788	8.367487479	8.290001416	8.253865322
OG0003640	8.590002393	8.173398056	7.717049037	8.518831342	8.805086047	8.734825526	8.774101565	8.805667839	7.978586156	8.088110533	10.32318134	11.06673441	10.39366528	11.41211884	9.151824626	9.326602131	9.018281778	10.3834259	9.11891927	8.925381585	6.241357894	6.401529391	9.31300282	8.09983508	7.673459191	6.917094488	7.323600654	7.307399156	7.437615166	7.374302939	8.120214074	7.623516085	7.52658394	7.455849079	8.48390213	8.604793214	8.851884843	8.410499842	8.53862885	8.653839674	8.362879617
OG0003642	10.99013264	10.76041951	10.68977818	10.94146134	11.30980924	11.33740173	11.00563655	11.26226152	10.81438267	10.51614733	12.21268278	12.2506974	11.93205151	12.63838924	11.86355975	12.96139133	11.96582017	12.87169498	11.85366316	12.12320948	12.92854772	12.38029604	11.95552324	8.966751414	9.260007852	9.036736236	8.598082877	8.160882703	8.323835153	7.963949103	8.034643251	8.592520274	8.453316507	8.248383447	9.837311749	10.0227018	10.05699343	9.926918381	9.677557202	9.665620698	9.772657872
OG0003645	10.1345773	9.469388117	9.904747994	8.336343515	7.987788176	8.325845088	9.359111049	9.126527257	9.247480945	8.458559666	12.00675562	11.65625452	11.10206621	12.21004762	10.95159961	11.86456172	11.62597714	11.70949797	11.16413072	11.06619661	10.29629463	10.43561116	12.1302799	8.848735157	8.426560019	8.544263375	8.90598609	8.150860117	8.123956797	9.700820944	9.848844014	7.982765922	8.486170482	9.266679197	9.148215744	9.022045138	9.004562058	8.922296681	8.718477294	8.188216397	8.200662783
OG0003646	8.233874475	10.59910026	9.586141496	8.53460885	8.679449931	11.18133495	10.95030418	8.902299215	8.194820453	8.959826009	5.002344006	5.550515352	4.811846352	6.323009316	5.310880632	11.4928261	10.29843778	10.79600903	11.1900195	5.724818169	5.650095594	4.864454829	10.48045148	4.898475713	7.920251281	9.107647148	6.007555341	5.46647319	5.224296415	10.29205141	9.927231427	9.408528983	9.781371868	8.89272273	7.605146668	6.599963947	7.735135945	6.512164184	6.038543842	6.038543842	6.038543842
