,Dm-L1,Dm-L2,Dm-L3,Dm-WL,Dm-PP1,Dm-PP2,Dm-PP3,Dm-P1,Dm-P2,Dm-P3,Ha-L1,Ha-L2,Ha-L3,Ha-L4,Ha-PP1,Ha-PP2,Ha-PP3,Ha-PP4,Ha-PP5,Ha-P1,Ha-P2,Ha-P3,Ha-P4,Px-L1,Px-L2,Px-L3,Px-L4,Px-PP1,Px-PP2,Px-PP3,Px-PP4,Px-P1,Px-P2,Px-P3,Lm-N1,Lm-N2,Lm-N3,Lm-N4,Lm-N5d1,Lm-N5d3,Lm-N5d5
OG0006244,34.89430081,31.36654286,30.19459728,64.53245493,86.5168709,84.4809488,116.6636197,79.57323528,42.3855843,37.65697602,13.39740866,13.93784294,11.95944477,6.106585646,25.18622551,14.0776112,9.364974149,7.876710558,7.009616056,14.85120057,21.78086436,25.03730414,9.176186917,19.802281,11.37180644,14.83663496,9.099181789,70.92157156,65.63612321,41.48820366,35.57394486,62.81515561,37.16836318,42.77392039,7.163946445,5.246387722,6.280610685,4.979223559,14.30174431,11.4477751,11.5983459
OG0006245,42.92850413,46.22675024,40.647273,54.45916024,61.96287723,55.07854527,92.39301591,53.89724104,36.81314789,34.38137663,59.4293308,60.84412137,60.3099598,52.01329119,81.73423212,47.63338142,46.16949111,34.72283266,45.53119653,81.93495166,87.69551041,114.1236336,53.53767711,23.7176515,13.75526311,11.40235616,15.11463379,34.74034909,34.74206853,31.3541105,25.6294571,46.77848392,31.71349532,27.77903783,21.79176906,23.51735495,17.91301878,23.23341559,34.48035989,32.4419963,30.87488805
OG0006246,18.2170772,14.4186463,10.0382909,24.36775432,62.61464175,55.07526153,78.02528525,77.68563741,45.83575444,21.73961288,105.6320174,89.36841668,94.34001142,86.54932288,131.2842306,143.4472256,114.3905226,96.68456018,98.48453656,101.3971597,167.6497807,150.0420613,116.6967138,42.19137693,16.58005405,18.54204238,13.44930331,100.9112062,103.7948884,93.03598192,66.65194112,108.3343015,77.84459787,46.79382015,54.53120549,44.3994495,42.35898796,51.49060061,49.77951186,42.6681721,42.51839225
OG0006247,26.46305215,23.31357882,19.44552104,25.20044123,33.70283797,32.61892476,46.3467126,36.35986796,23.75145749,27.70192066,39.1851219,44.43972695,43.96509171,35.17568397,46.86275266,28.48487232,30.29990614,22.32399513,26.81817745,40.13791158,40.79725845,46.41526109,27.94816719,19.46729593,13.51321989,13.49274859,6.527832801,29.64938636,27.97962954,20.70325493,17.64801161,36.14737148,27.28344604,37.67336535,13.7701771,11.51326614,13.55170117,14.39899053,19.10027923,14.93223877,15.79612965
OG0006248,95.20599468,173.6180498,107.4730177,341.256047,770.9063581,301.9107161,343.3242182,255.2851491,173.3529155,265.9911837,73.60790802,77.77608322,95.95330074,63.13434898,160.9796124,82.56631814,85.85677621,59.60185001,64.27065151,104.0431856,69.98872157,90.5149286,59.42179849,189.1153442,110.4239475,106.1146758,104.873022,290.4295513,322.4860078,263.0433986,205.4330107,134.9002594,114.7293575,135.0719521,98.60133586,102.2010884,101.8809265,101.3671728,165.1780657,173.5836613,156.6193502
OG0006249,2.971223906,3.697405145,2.117380884,4.104985653,6.731403065,6.343090384,9.37332163,8.576353388,6.39715959,2.521919438,24.16503352,19.35750955,18.07763146,26.890919,49.57212243,24.38340499,38.08096671,17.84283474,50.29025595,44.69642713,38.99950571,64.29004081,49.41923819,2.731497228,1.282712846,1.337075942,0.993310353,7.447889493,8.192270105,7.230367284,5.56353571,13.03760579,8.704607544,5.815437032,34.31494011,36.51547252,35.29191279,36.10673998,56.6853793,50.67603377,56.52260081
OG0006250,36.05880971,43.38133558,44.56489567,42.48193512,51.40728923,47.80529337,62.41193466,62.39658649,45.75570595,27.76330575,37.57293622,36.52028802,37.32097402,28.90638311,51.16015353,21.83664294,26.07942734,16.47388703,21.23321597,26.96042534,34.79527181,48.21367808,24.39594803,14.68524131,11.26429686,12.6603942,15.50200639,12.96533909,16.18622054,11.79981379,9.454619629,14.76924179,12.73588208,17.48855834,29.77276747,31.68287422,31.0986356,31.76217486,34.2652365,38.77121185,35.66812573
OG0006251,7.897336551,11.9161955,3.102431305,6.584845823,10.00732812,10.7429192,37.87299274,49.36906836,14.44304264,3.604126006,15.30249531,16.50584325,12.25401764,9.903238642,45.78570836,15.37757922,10.79284636,4.257368749,4.276600006,34.16414453,23.98126014,46.11693899,0.681881766,3.627377624,1.498921502,1.429906824,0.672339395,14.63064232,12.3212086,9.679759179,3.345580765,31.8216091,21.58178202,6.793593615,3.783604202,3.917253996,3.12858981,4.602893115,1.442124083,1.352134056,1.57521663
OG0006252,3.826405929,7.439932118,2.473873092,8.958419464,31.25994237,10.07462747,124.4183135,48.3219284,3.928246147,1.366358165,8.150662858,14.49021746,11.4569506,11.46505434,79.28811481,20.2875325,22.59040701,5.474626558,7.381780554,18.8160584,68.78531488,63.16604434,9.924907641,0.9286151,0.917488363,1.091803044,0.521340261,14.58147362,11.57880892,19.80855785,1.156265463,181.2171644,11.02202344,12.19557197,2.535435028,1.85261873,1.296145281,5.18354968,0.185759689,0.314477302,0.204265724
OG0006253,15.58316008,6.558265526,1.907745547,5.029457103,7.53050291,12.62554067,19.92589196,22.7419649,8.017777964,5.925411575,1.938142819,0.700758677,0.519588946,1.521181647,5.193165137,3.046139536,3.360381255,1.981996266,4.069832644,10.39317473,5.006501539,11.97176054,10.07323341,0.220222804,0.017148919,0.046441106,0.015553517,0.442155623,0.285671936,0.45299207,0,0.979872014,1.160299756,0.764772127,10.89481013,8.804113342,8.234662423,10.44234416,5.793540797,6.218175424,7.081315116
OG0006254,13.78821295,17.96589138,13.95687394,20.91163784,25.28729069,28.14511401,30.51629992,25.91929702,10.60333563,9.650670986,17.48025947,22.39961621,25.3413132,16.38065254,26.03680448,15.75364366,13.11602596,10.21472137,9.659949965,21.15756157,22.78817021,23.25932956,13.15853816,31.85393516,22.70636086,21.35730146,20.77297928,26.52839023,28.36688639,18.33424274,18.98572249,22.60224857,15.42997257,18.93636943,14.66970458,16.13806358,21.16202091,18.17942184,34.84012698,30.26388875,31.27116622
OG0006255,2.539022854,2.176803655,1.582966823,3.140687228,5.012060618,5.341630308,5.246546322,3.502950663,2.017589082,2.097376827,13.34320958,8.900875375,7.425297217,6.532768149,6.441919639,3.346171098,4.089365262,3.66708602,5.195494542,10.15300885,12.93572426,8.701824119,6.97741316,3.767251435,3.568071036,3.641003719,0.95318809,1.249918387,1.199503847,1.431719139,1.487234215,1.528291217,1.793170813,6.629723063,3.939561452,3.65393543,3.486229998,4.522977064,5.915347851,5.821650267,5.894834417
OG0006256,85.58706499,99.35879548,71.0460708,127.9206955,78.23099339,60.23556916,39.95553082,45.5964684,42.19952418,135.5515749,158.9094562,52.95458545,57.23737285,54.82326527,22.5050056,5.933077499,7.513750241,29.55238296,67.48827164,87.65110962,25.33688578,28.93708722,231.7983225,104.1949769,50.89516352,18.50828423,105.8604889,8.087120361,9.120491522,21.6640367,25.81225356,37.95446698,80.98540358,119.7181031,50.78264097,47.86696512,26.25441136,36.00542814,12.70196237,12.67438656,12.78405307
OG0006258,20.85890057,25.3126642,20.8539801,25.54812735,32.58464245,37.81575752,53.51566785,33.71606344,19.09541114,17.06853736,39.78731613,50.92215576,46.81148441,33.77063368,45.77723616,20.90777417,24.24566013,17.74793135,26.53271917,44.17037711,47.99428826,55.97270609,22.81742143,15.64771915,12.67094763,12.08357115,10.51094804,23.36628188,19.64777993,17.12526718,10.44522355,23.85597827,15.37830302,17.08976549,46.67273572,50.10188731,42.10609893,52.62612297,67.4047282,68.05738396,65.62701557
OG0006259,58.050327,46.92319585,33.7240728,47.09826954,79.35472059,77.18869066,97.99563417,86.24893912,60.98531386,49.93460118,276.8116856,208.7671694,225.9254372,209.5968091,220.0526981,201.5300295,148.2347437,128.2837684,123.6049194,253.0106094,279.4825291,274.8026019,141.1616029,72.28737305,54.25461897,47.22314646,41.22176744,88.24359473,77.227519,60.98995753,54.54270473,89.70413102,64.7454207,64.91242862,53.89569774,57.11395279,55.46997887,43.75316538,64.89078364,68.24228513,51.78305607
OG0006260,19.21950291,16.70234452,14.18164928,27.2371801,46.741755,49.32872456,60.56682248,40.62417759,19.99592074,10.44426635,21.11757276,17.75403721,15.00820533,13.81610989,43.06718945,20.83894881,21.35369146,13.63559799,21.87681492,41.48620023,35.40211686,58.55092314,26.46881584,14.03063091,7.880726991,7.875076145,5.274832606,24.15513017,24.38294001,23.8854591,19.38768187,37.42005683,28.07563313,18.70559083,27.67335674,30.97941479,30.15946915,27.08644082,57.10747231,52.74863154,53.4507868
OG0006261,68.86870249,65.41932054,54.3843834,34.10579866,41.47169607,34.41569332,44.72716041,54.27167799,31.4954772,19.91036165,42.20085058,45.49027595,39.41923424,24.4078172,66.5889888,33.64700596,43.33148175,18.33602992,29.52923143,44.35587897,48.19988894,68.56052518,30.92665024,17.89055815,21.99581539,25.91790175,7.931154076,16.27094589,16.42164757,13.52815633,9.032713847,25.65639602,22.22304133,17.88360096,30.21515037,38.2513672,36.00650136,38.9054836,68.83080584,69.11523581,57.67985298
